103075,witchcats smoke on the water,m,,,normal,11.7
103157,cherry of bitzecoon,m,,,normal,7.85
103159,fife ic piupaws (nice voice...),f,,,normal,16.4
103549,gic molga's agrippa,f,,,normal,26.9
103209,ch lacocoon hey jude,m,,,normal,15.7
103693,målargårdens toffy tigerknight,m,,,normal,33.2
103210,gilgamesj 18 k,m,,,normal,31.7
103539,droppstenen's filippa,f,,,normal,37.1
103775,seierø's cappucino,m,,,normal,43.6
103871,tallkatten akamir,m,270718,203385,normal,0.0122
103908,mammgårdens isadora,f,246979,383175,normal,11.5
103736,fife ch djäknens great gift of godess,f,357340,155953,hcm,13.3
103888,piupaws point barrow,f,,,normal,10.9
103963,krickelins cameron,f,153206,270824,normal,38.6
103924,julian's cäptain ballou,m,,,normal,10.7
103919,ic wildwood's telia,f,278566,283250,normal,6.42
103931,ylletrollets pulsatilla,f,321467,122217,normal,6.03
103941,the dorsai storm kissed,m,149794,332329,normal,1.94
104003,ja znaju aarii afanasievich,m,305624,135427,normal,0
104182,kassaro kiri te of operacoon,f,183292,215455,hcm,21.1
104059,ch solfjädern tuva,f,,,normal,2.97
104061,ch tamise de sulena de tengri'nor,f,,,normal,15.9
103990,riverstone dolce vita,f,285539,250428,normal,13.4
104197,richard gyldenløve,m,149128,280737,normal,1.82
104225,ch soldalen pippin,m,,,normal,19.6
104329,escape's dexa's kid,m,,,normal,7.82
104217,timaracoon's alisha,f,157587,506916,normal,16.7
104209,doctrix' elinor dashwood,f,,,normal,10.6
104390,ch belushies impy dark of fegu tigerheart,f,,,normal,20.2
104330,ch sarafina tomcat,m,,,normal,17
104377,ic fantastic-sam the tenderly,m,,,normal,13.4
104338,ww01 milinocket bon jovi,m,225891,317902,normal,18.8
104351,ch joline of cats cradle,f,,,normal,13.3
104583,miki sanukis pasoá,f,,,normal,8.87
104531,monzabinas monjara,f,211017,232375,normal,7.58
104436,ch lodgar's wanezza,f,185329,123526,normal,39.8
104483,furkats carob crunch,f,,,normal,6.13
104546,ch frigg gyldenløve,f,162011,280737,normal,1.65
104633,ic mestro's valentino,m,,,normal,3.89
104586,ec wildwood's uriel,f,356915,142080,normal,3.78
104662,smokey joe child of maine,m,,,normal,14.9
104677,gic-ip canaletto roanokebluebelle,f,358299,141278,normal,13.8
104643,ic tindarra legolas,m,208871,378596,normal,10.6
104797,cremekullens personliga petra,f,,,normal,11.3
104828,ch grianan's gwendalin,f,,,normal,1.95
104846,løve hulen's hurricane mitch,m,,,normal,24.3
104839,datolitos alfrida,f,397238,245706,normal,2.56
104731,wc-ch all roads lead to maine donovan shag minor,m,,,normal,33
104906,ch sollefteåkatten diva,f,121841,115767,normal,45.8
104868,charla cats bertil,m,,,normal,3.76
104867,ristargos busiga bamse,m,304061,322629,normal,38.1
104942,ic garpriket's tindra,f,247411,111138,normal,3.46
104856,ally de la vallée de rosey,f,313758,353287,normal,15.4
105036,ec guglielmo del tao del miao,m,,,normal,8.09
104989,ch lingontuvans giza,f,,,normal,2.51
104982,hewiras aivy,f,179720,266103,normal,7.11
105090,panya van ashamta,f,160712,202412,normal,3.8
105106,fife ic shangri-la nangijala,f,192054,320896,normal,10.7
105157,nancheros angel,m,399899,331800,normal,11.7
105198,gc suedekitty im no angel,m,,,normal,6.18
105206,ic lachtetals t-blue diamond of chamberlain,f,,,normal,12.1
105191,cooncity highlander,m,,,normal,13.2
105259,ch nounou's frozen,m,,,normal,33.8
105343,ch lncats growl towel of badyr,m,,,normal,5.72
105391,ch thundercats welcome to the future,m,,,normal,15
105357,ch glömstaskogens caligo,f,350324,224448,hcm,3.18
105383,gic dunderkattens yngve,m,,,normal,6.82
105266,xavier vom pommerland,m,,,normal,13.2
105465,sarais zemrik,m,,,normal,47.2
105504,gic widjefjord's doreen,f,288594,183396,normal,2.22
105478,gp acadiacoons rumford red baron,m,257242,128443,normal,10.2
105539,ic big giants resort's malcolm x,m,335767,210266,normal,13.9
105485,melissa de pluche palace,f,,,normal,12.9
105736,ragagucci's leon,m,,,normal,44.3
105745,gec koeni's geeny,f,366527,380574,normal,2.52
105563,ep & ec animaniac's terry talebearer,m,331523,400107,normal,2.34
105641,ec lottehuset's charlie,m,,,normal,1.73
105543,coonshags lollypop of fiftystars,f,,,normal,13.5
105840,laksjøen's ulva,f,,,normal,3.11
105825,phoenix-king of noah's ark,m,,,normal,20.1
105889,grace of mount steele,f,,,normal,11.9
105830,sc saphire extreme midnightsun,m,148956,329394,normal,32.4
105927,ic possum's kassandra,f,306081,156600,normal,34
105985,handaros marha,f,,,normal,7.16
