ID,Name,Sex,Sire,Dam,HCM
1274234,GIC Afymir's Orca,M,1099101,1191540,HCM Mild
1274248,Matamba's Rumba,F,947490,1158894,Normal
1274263,Tomtebloss Mercedes,F,637543,870616,Normal
1274264,Lovelystory Narcissus,M,1154838,1189543,Normal
1274266,Ace of Diamonds Penny Lane,F,1227943,1131558,Normal
1274267,Aladdin,M,1274268,1274269,Normal
1274265,Ace of Diamonds Olympia,F,1184496,1135844,Normal
1274271,Alexeys.se Tuscon,M,1136031,1135246,Normal
1274270,Alexeys.se Rio,F,1136031,1136030,Normal
1274335,Deltas Manipura,F,1231521,1142664,Normal
1274338,Deltas Vishuddha,M,1231521,1142664,Normal
1274344,Bellinka's Jaspis,M,1215712,1185015,Normal
1274406,Borys Lampart z Warmii,M,1274405,1274407,Normal
1274405,Felvel vom Weinberg,M,1147483,1147484,Normal
1274407,CH Nina Housetiger,F,1274408,1274409,Normal
1274418,Bianka Spod Znaku Lwa,F,1274419,1274420,Normal
1274416,Narinjo's Vaya Vilena,F,870323,865441,Normal
1274448,Narinjo's Blue Magic,M,1246543,1274416,Normal
1274449,Narinjo's Uyumi Unisha,F,870323,865443,Normal
1274493,Asterion's Gemma,F,1274494,988238,Normal
1274491,Amagetos Neymar Santos,M,1173848,1173849,Normal
1274492,Amun Ra's Dana,F,1215671,947743,Normal
1274497,Bebble's Doll Afrodite,F,1111375,1274498,Normal
1274501,Bluesrags Totta Näslund,M,801289,1274502,Normal
1274500,Bluesrags Freddie King,M,1282435,1274502,Normal
1274504,Bluesrags Zola Moon,M,801289,854474,Normal
1274517,Brutus van Rustenburgh,M,1152097,1274518,HCM Mild
1274519,Bussebo's Eastern Candy,F,754087,1107578,Normal
1274524,Bussebo's Take off Electra,F,1212329,1107578,Normal
1274526,Bussebo's Take off Cocoa,F,1212329,1274519,Normal
1274529,Bussebo's Take off Twix,M,1212329,1274519,Normal
1274530,Calamarin Amadeus,M,720768,325429,Normal
1274532,Calaquendi Dolls Supernova Jemsa,F,965786,863526,Normal
1274533,Candy Dolls Minty,F,1274534,1189111,Normal
1274531,Calaquendi Dolls Light up the dark,F,963138,863510,Normal
1274534,Sweet Rags The Great Leoni,M,1092196,950031,Normal
1274538,Crazy About You Burberry,F,1219576,1175084,Normal
1274536,Chendos Sigge,M,989620,1274537,Normal
1274539,Crinitus Caudis Itchi-Ni,F,1071685,1175125,Normal
1274543,Dan Dara's Keilon,M,1227952,1103240,Normal
1274541,Crinitus Caudis Lollipop,F,1198864,1175130,Normal
1274542,Cutecat's Sweet N'Savannah,F,722917,643556,Normal
1274540,Crinitus Caudis Kinnie,F,1212391,1274539,Normal
1274544,Dan Dara's Twisted Little Star,F,1227952,1274545,Normal
1274548,CH Diadem's Xanta,F,1085481,1188278,Normal
1274547,Diadem's Wendy Sollis,F,1085481,882479,Normal
1274546,CH Dandydolls Sir Raikku,M,953829,1088780,Normal
1274550,Doll Lyckan's Marie,F,1135245,1098082,Normal
1274549,Diamond Gardens Titta,M,870238,860496,Normal
1274567,Duvemollys Fideli,F,946913,860502,Normal
1274565,Donnerhall Supurrsonic,M,1198705,1177259,Normal
1274566,Dust Buster's Amazon,F,1102626,964519,Normal
1274585,Emma Thompson vom Dattelner Meer,F,821745,1274584,Normal
1274586,Sweet Proud Tigers Kimono,M,1158046,883841,Normal
1274584,Solitaire vom Dattelner Meer,F,1157276,862051,Normal
1274606,Brilthor Arryn,F,894759,1257615,Normal
1274632,Bellinka's Orezza,F,1183255,1185011,Normal
1274630,Bellinka's Rozana,F,1183255,1185011,Normal
1274635,Snow Buddies Rainbow dash,F,1266380,1217226,Normal
1274663,Titran's Cassius Clay,M,1107264,1219242,Normal
1274684,Snow Buddies Pontiac Bonneville JW,F,1266380,866169,Normal
1274686,Snow Buddies Pontiac Firebird,M,1266380,866169,Normal
1274693,Chloe Eternal Magic,F,1274691,1274690,Normal
1274692,Crusoe Eternal Magic,M,1274691,1274690,Normal
1274781,Lady Blue du Pays Angoumois,F,1063711,833460,Normal
1274791,Deenlay Serindipity,F,1112632,1246806,Normal
1274796,Unicat of Great Fate,M,1274797,1270033,Normal
1274798,CH Xara vom Kronprinzen,F,1274799,1274800,Normal
1274795,Fairy Fay fan de Ikemoune,F,1209016,946728,Normal
1274801,Seraphina von der Leine,F,1217242,1274802,Normal
1274803,CH Merida von der Leine,F,1217240,1274804,Normal
1274805,Daylight from Kingsyard,M,1186699,1085150,Normal
1274811,Stressless Silver Vayen,M,928579,984636,Normal
1274813,Pearlymoon's Chocolat Fondant,F,1102149,1061857,Normal
1274812,Tassamento's Unna,F,923710,1099023,Normal
1274810,LizPaws Challe Berglund,M,1133261,1139308,Normal
1274814,CH Colin Silver Sun,M,1200816,1200817,Normal
1274818,Ballou vom weißen Kristall,M,1274819,1274820,Normal
1274816,Gamla Bergets Lord of Malaco,M,1274817,982148,Normal
1274815,Tebasiles Snödroppe,F,1191848,907965,Normal
1274821,Telal of Horatio,F,1182808,1274822,Normal
1274823,IC Tebasiles Biscotti,M,1191848,1136988,Normal
1274826,Tyson,M,1274832,1274833,Normal
1274824,Fee van Doortjes Catsfarm,F,1137122,947066,Normal
1274828,Jolly du Clos de Cachadar,F,1221549,1243888,Normal
1274827,Nino von der Wölfen,M,977117,977120,HCM Mild
1274825,Envy me of Rising Fame,F,902031,912092,Normal
1274830,Umbra av Folgefonn,F,1155715,837073,Normal
1274829,Helluine vom Niemetal,F,896202,965220,Normal
1274831,Eye Rock's Kungen,M,835981,104059,Normal
1274838,Sweet Fun Kora,F,1302944,1274836,Normal
1274834,Benny Joey vom Elfenpalais,M,925249,1274835,Equivocal
1274836,Sweet Fun Caprice,F,1274837,1248289,Normal
1274841,Jubilee Cake of Alamanon,M,1274842,1274843,Normal
1274840,Apiatif's Lilac Bling-Bling,F,901669,901671,Normal
1274846,Apiatif's Cream Kassander,M,1098965,942631,Normal
1274847,Kongstad's Apaya,F,1274848,1274849,Normal
1274844,IC Bell Arden Hollywood,M,1137498,1137499,Normal
1274845,IC Apiatif's Cream Kitty,F,1098965,942631,Normal
1274852,Jan-Zong-Hee's Catania,F,937745,924781,Normal
1274850,Empire's Unchain My Heart,F,918792,918793,Normal
