ID,Sex,Has_HCM,Sire_ID,Sire_has_HCM,Dam_ID,Dam_has_HCM
106685,m,false,347008,false,210295,false
106692,m,false,,false,,false
106708,m,false,,false,,false
106797,f,false,340590,false,111573,false
106838,m,false,183257,false,255235,false
106850,f,false,,false,,false
106882,f,false,344555,false,197669,false
106893,m,false,,false,,false
106936,m,false,,false,,false
106966,f,false,,false,,false
106967,m,false,363089,false,113806,false
106987,m,false,,false,,false
107005,m,false,,false,,false
107006,f,false,380035,false,391653,false
107027,f,false,388455,false,139722,false
107036,m,false,,false,,false
107141,f,false,,false,,false
107159,m,false,,false,,false
107171,m,false,157351,false,312104,false
107262,f,false,,false,,false
107390,m,false,,false,,false
107410,f,false,,false,,false
107433,f,false,,false,,false
107493,f,false,315422,false,144737,false
107512,m,false,143916,false,335851,false
107518,f,false,,false,,false
107552,f,false,,false,,false
107562,f,false,,false,,false
107565,f,false,101959,false,370983,false
107585,f,true,377751,false,259374,false
107587,m,false,,false,,false
107653,f,false,,false,,false
107655,m,false,,false,,false
107685,f,false,307942,false,258925,false
107711,m,false,129250,false,201647,false
107721,f,false,366924,false,128559,false
107729,f,false,,false,,false
107749,m,false,,false,,false
107759,f,false,,false,,false
107775,f,false,,false,,false
107871,m,false,,false,,false
107881,f,false,107749,false,362359,false
107886,f,false,346132,false,247299,true
107928,f,true,239083,false,217182,false
107959,f,false,405035,false,119431,false
107987,m,false,305754,false,193419,false
107991,f,false,,false,,false
108015,f,false,387946,false,145045,false
108024,m,false,,false,,false
108035,m,false,,false,,false
108050,f,false,247124,false,149700,false
108054,f,false,386068,false,322733,false
108060,f,false,253332,false,281965,false
108171,m,false,,false,,false
108189,f,false,,false,,false
108190,f,false,,false,,false
108245,m,false,246221,false,384035,false
108277,m,false,135144,false,307891,false
108324,f,false,,false,,false
108353,f,false,379327,false,158982,false
108389,m,false,123801,false,198443,false
108470,f,false,,false,,false
108489,f,false,297204,false,108189,false
108556,f,false,287121,false,192391,false
108579,m,false,159292,false,151518,false
108610,m,false,,false,,false
108642,m,false,,false,,false
108684,f,false,,false,,false
108688,f,false,,false,,false
108700,f,false,,false,,false
108713,m,false,173640,false,400662,false
108727,m,false,349304,false,341008,false
108763,f,false,358974,false,147914,false
108826,m,false,,false,,false
108830,m,false,,false,,false
108859,f,false,173730,false,218781,false
108871,m,false,,false,,false
108883,m,false,257017,false,122362,false
108905,f,false,,false,,false
108914,m,false,198780,false,375082,false
108923,f,false,,false,,false
108927,f,false,,false,,false
109006,m,false,,false,,false
